"tract","Name","Household_Income_rP_gF_pall"
6037702700,"Park West, Culver City, CA",55423
6037481713,"Monterey Park, CA",55249
6037480102,"San Gabriel, CA",55212
6037700400,"Central LA, West Hollywood, CA",55133
6037481402,"San Gabriel, CA",55085
6037189102,"Central LA, Los Angeles, CA",55073
6037195202,"Central LA, Los Angeles, CA",55053
6037701902,"Downtown, Santa Monica, CA",54939
6037301702,"Vineyard, Glendale, CA",54912
6037482102,"Monterey Park, CA",54838
6037265520,"Westwood, Los Angeles, CA",54788
6037701302,"Wilshire Montana, Santa Monica, CA",54775
6037602302,"HollyGlen, Hawthorne, CA",54712
6037481300,"Rosemead, CA",54707
6037143602,"Studio City, Los Angeles, CA",54690
6037265202,"Westwood, Los Angeles, CA",54580
6037216402,"Central LA, Los Angeles, CA",54541
6037482202,"Garvey, Monterey Park, CA",54489
6037482101,"Monterey Park, CA",54423
6037192001,"Central LA, Los Angeles, CA",54358
6037264301,"Brentwood, Los Angeles, CA",54323
6037462600,"Pasadena, CA",54229
6037481605,"Alhambra, CA",54189
6037271100,"West Los Angeles, Los Angeles, CA",54072
6037311500,"Magnolia Park, Burbank, CA",54063
6037194402,"Beverly Grove, Los Angeles, CA",53940
6037700200,"Central LA, West Hollywood, CA",53921
6037267800,"West Los Angeles, Los Angeles, CA",53833
6037481002,"Alhambra, CA",53771
6037265510,"Westwood, Los Angeles, CA",53702
6037311400,"Burbank, CA",53599
6037191902,"Central LA, Los Angeles, CA",53576
6037463102,"Pasadena, CA",53563
6037530003,"South Montebello, Montebello, CA",53550
6037267502,"West Los Angeles, Los Angeles, CA",53531
6037482201,"Monterey Park, CA",53336
6037264102,"Brentwood, Los Angeles, CA",53331
6037302102,"Somerset, Glendale, CA",53300
6037302103,"Citrus Grove, Glendale, CA",53151
6037480400,"Alhambra, CA",53134
6037301206,"Glenwood, Glendale, CA",53051
6037302004,"Citrus Grove, Glendale, CA",53044
6037620101,"El Segundo, CA",53019
6037481500,"Alhambra, CA",52996
6037194200,"Central LA, Los Angeles, CA",52961
6037271701,"Palms, Los Angeles, CA",52935
6037267700,"Sawtelle, Los Angeles, CA",52789
6037551000,"Downey, CA",52748
6037311700,"Burbank, CA",52732
6037143700,"Studio City, Los Angeles, CA",52652
6037702202,"Sunset Park, Santa Monica, CA",52613
6037267404,"Sawtelle, Los Angeles, CA",52551
