"tract","Name","Incarceration_Rate_rP_gP_p25"
6037208302,"Central LA, Los Angeles, CA",0.0295
6037600702,"Morningside Park, Inglewood, CA",0.0295
6037234200,"Leimert Park, Los Angeles, CA",0.0295
6037228310,"South Los Angeles, Los Angeles, CA",0.0295
6037541603,"Compton, CA",0.0294
6037219500,"South Los Angeles, Los Angeles, CA",0.0294
6037535001,"South Los Angeles, Los Angeles, CA",0.0293
6037234501,"South Los Angeles, Los Angeles, CA",0.0293
6037236100,"Baldwin Village, Los Angeles, CA",0.0292
6037700102,"Central LA, West Hollywood, CA",0.0292
6037234800,"Park Mesa Heights, Los Angeles, CA",0.0292
6037236204,"Baldwin Village, Los Angeles, CA",0.0291
6037221900,"South Los Angeles, Los Angeles, CA",0.0291
6037240600,"South Los Angeles, Los Angeles, CA",0.029
6037541100,"Compton, CA",0.0287
6037226001,"South Los Angeles, Los Angeles, CA",0.0287
6037603001,"Gardena, CA",0.0286
6037181600,"Northeast Los Angeles, Los Angeles, CA",0.0284
6037531502,"East Los Angeles, CA",0.0283
6037703100,"View Park, View Park-Windsor Hills, CA",0.0283
6037530802,"Los Angeles, CA",0.0283
6037620102,"El Segundo, CA",0.0283
6037221710,"Jefferson, Los Angeles, CA",0.0282
6037600802,"Morningside Park, Inglewood, CA",0.0282
6037209520,"Central LA, Los Angeles, CA",0.0281
6037540902,"South Los Angeles, Los Angeles, CA",0.0281
6037221110,"Central LA, Los Angeles, CA",0.028
6037125401,"North Hollywood, Los Angeles, CA",0.0279
6037553504,"Paramount, CA",0.0278
6037241400,"Harbor, Los Angeles, CA",0.0276
6037224010,"Central LA, Los Angeles, CA",0.0276
6037265420,"Westwood, Los Angeles, CA",0.0275
6037208620,"Central LA, Los Angeles, CA",0.0275
6037551201,"Downey, CA",0.0273
6037229200,"South Los Angeles, Los Angeles, CA",0.0273
6037536104,"South Gate, CA",0.0273
6037209300,"Central LA, Los Angeles, CA",0.0273
6037206050,"Central LA, Los Angeles, CA",0.0272
6037542000,"Compton, CA",0.0272
6037600100,"South Los Angeles, Los Angeles, CA",0.0272
6037219901,"Los Angeles, CA",0.0272
6037241001,"South Los Angeles, Los Angeles, CA",0.0272
6037541605,"Compton, CA",0.0271
6037600911,"Inglewood, CA",0.027
6037228720,"South Los Angeles, Los Angeles, CA",0.027
6037236203,"Crenshaw, Los Angeles, CA",0.0269
6037199900,"Montecito Heights, Los Angeles, CA",0.0269
6037226002,"Central LA, Los Angeles, CA",0.0269
6037231710,"South Figueroa Corridor, Los Angeles, CA",0.0268
6037218800,"Central LA, Los Angeles, CA",0.0266
6037219700,"Jefferson, Los Angeles, CA",0.0265
6037541500,"South Los Angeles, Compton, CA",0.0264
6037602404,"Hawthorne, CA",0.0264
6037236202,"Baldwin Village, Los Angeles, CA",0.0263
6037239502,"South Los Angeles, Los Angeles, CA",0.0263
6037211310,"Central LA, Los Angeles, CA",0.0263
6037215102,"Central LA, Los Angeles, CA",0.0261
6037211701,"Central LA, Los Angeles, CA",0.026
6037234300,"Leimert Park, Los Angeles, CA",0.026
6037190100,"Central LA, Los Angeles, CA",0.0258
6037601211,"Inglewood, CA",0.0255
6037219010,"South Los Angeles, Los Angeles, CA",0.0253
6037209820,"Central LA, Los Angeles, CA",0.0253
6037553502,"Paramount, CA",0.0253
6037237800,"South Los Angeles, Los Angeles, CA",0.0253
6037207502,"Downtown, Los Angeles, CA",0.0252
6037125200,"North Hollywood, Los Angeles, CA",0.0251
6037262100,"Bel Air, Los Angeles, CA",0.025
6037237402,"South Los Angeles, Los Angeles, CA",0.025
6037224420,"South Los Angeles, Los Angeles, CA",0.025
6037540203,"Lynwood, CA",0.025
6037541300,"Compton, CA",0.0249
6037231500,"Leimert Park, Los Angeles, CA",0.0249
6037553000,"Norwalk, CA",0.0248
6037240300,"South Los Angeles, Los Angeles, CA",0.0248
6037212203,"Central LA, Los Angeles, CA",0.0248
6037218600,"Central LA, Los Angeles, CA",0.0247
6037541700,"Lynwood, CA",0.0245
6037211802,"Central LA, Los Angeles, CA",0.0245
6037554001,"Bellflower, CA",0.0245
6037221500,"South Los Angeles, Los Angeles, CA",0.0245
6037211320,"Central LA, Los Angeles, CA",0.0243
6037553601,"Paramount, CA",0.0243
6037600801,"Morningside Park, Inglewood, CA",0.0242
6037271801,"Palms, Los Angeles, CA",0.0242
6037530901,"Los Angeles, CA",0.0242
6037242200,"South Los Angeles, Los Angeles, CA",0.0241
6037532800,"South Los Angeles, Los Angeles, CA",0.0241
6037232200,"South Los Angeles, Los Angeles, CA",0.024
6037240800,"South Los Angeles, Los Angeles, CA",0.0239
6037267501,"West Los Angeles, Los Angeles, CA",0.0239
6037540101,"Lynwood, CA",0.0239
6037239320,"South Los Angeles, Los Angeles, CA",0.0238
6037238400,"South Los Angeles, Los Angeles, CA",0.0238
6037602504,"Hawthorne, CA",0.0238
6037224600,"South Figueroa Corridor, Los Angeles, CA",0.0238
6037530400,"Monterey Park, CA",0.0237
6037620002,"El Segundo, CA",0.0237
6037220000,"Jefferson, Los Angeles, CA",0.0237
6037271500,"Mar Vista, Los Angeles, CA",0.0237
6037191204,"Central LA, Los Angeles, CA",0.0236
6037531102,"Los Angeles, CA",0.0236
6037542800,"Compton, CA",0.0236
6037700501,"Central LA, West Hollywood, CA",0.0235
6037217200,"Central LA, Los Angeles, CA",0.0234
6037311801,"Burbank, CA",0.0232
6037534002,"South Montebello, Bell Gardens, CA",0.0232
6037186302,"Glassell Park, Los Angeles, CA",0.023
6037218900,"Jefferson, Los Angeles, CA",0.0227
6037600602,"Inglewood, CA",0.0226
6037206300,"Central LA, Los Angeles, CA",0.0225
6037551102,"Downey, CA",0.0224
