"tract","Name","Household_Income_rP_gP_pall"
6037141101,"Sherman Oaks, Los Angeles, CA",51821
6037700300,"Central LA, West Hollywood, CA",51671
6037189902,"Central LA, Los Angeles, CA",51590
6037620101,"El Segundo, CA",51587
6037620002,"El Segundo, CA",51316
6037125600,"North Hollywood, Los Angeles, CA",51234
6037189400,"Central LA, Los Angeles, CA",51221
6037211701,"Central LA, Los Angeles, CA",51086
6037700102,"Central LA, West Hollywood, CA",51006
6037480704,"South Pasadena, CA",50983
6037189905,"Central LA, Los Angeles, CA",50959
6037265520,"Westwood, Los Angeles, CA",50904
6037481713,"Monterey Park, CA",50896
6037189903,"Central LA, Los Angeles, CA",50860
6037216300,"Central LA, Los Angeles, CA",50810
6037311700,"Burbank, CA",50785
6037481500,"Alhambra, CA",50729
6037214901,"Beverly Grove, West Hollywood, CA",50560
6037124600,"Sherman Oaks, Los Angeles, CA",50553
6037141304,"Sherman Oaks, Los Angeles, CA",50543
6037700400,"Central LA, West Hollywood, CA",50486
6037181000,"Northeast Los Angeles, Los Angeles, CA",50444
6037214502,"Central LA, Los Angeles, CA",50264
6037189202,"Central LA, Los Angeles, CA",50245
6037207101,"Central LA, Los Angeles, CA",50208
6037192300,"Central LA, Los Angeles, CA",50202
6037482202,"Garvey, Monterey Park, CA",50175
6037481401,"San Gabriel, CA",49997
6037481603,"Alhambra, CA",49967
6037214600,"Central LA, Los Angeles, CA",49913
6037701902,"Downtown, Santa Monica, CA",49908
6037141102,"Sherman Oaks, Los Angeles, CA",49700
6037181300,"Northeast Los Angeles, Los Angeles, CA",49653
6037702700,"Park West, Culver City, CA",49598
6037211500,"Central LA, Los Angeles, CA",49515
6037481711,"Monterey Park, CA",49426
6037141302,"Sherman Oaks, Los Angeles, CA",49350
6037311500,"Magnolia Park, Burbank, CA",49236
6037702300,"Sunset Park, Santa Monica, CA",49232
6037271300,"Mar Vista, Los Angeles, CA",49217
6037481300,"Rosemead, CA",49174
6037194402,"Beverly Grove, Los Angeles, CA",49047
6037301204,"Verdugo Viejo, Glendale, CA",48956
6037530003,"South Montebello, Montebello, CA",48821
6037301900,"Downtown, Glendale, CA",48703
6037311400,"Burbank, CA",48680
6037301206,"Glenwood, Glendale, CA",48655
6037482502,"Garvey, Rosemead, CA",48609
6037702600,"Culver City, CA",48582
6037463300,"Pasadena, CA",48564
6037128910,"Sherman Oaks, Los Angeles, CA",48539
6037480302,"Alhambra, CA",48319
6037551000,"Downey, CA",48299
6037550800,"Downey, CA",48235
6037143300,"Studio City, Los Angeles, CA",48125
6037480102,"San Gabriel, CA",48041
6037463200,"Lamanda Park, Pasadena, CA",47750
6037702201,"Sunset Park, Santa Monica, CA",47749
6037194200,"Central LA, Los Angeles, CA",47742
6037481402,"San Gabriel, CA",47736
